Year,Country,Region,Rank,Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Latitude,Longitude,Size,Continent
2022,Finland,Western Europe,1,"7,821",1.892,1.258,0.775,0.736,0.534,0.109,2.518,61.92411,25.748151,17,Europe
2022,Denmark,Western Europe,2,"7,636",1.953,1.243,0.777,0.719,0.532,0.188,2.226,56.26392,9.501785,17,Europe
2022,Iceland,Western Europe,3,"7,557",1.936,1.320,0.803,0.718,0.191,0.270,2.320,64.963051,-19.020835,17,Europe
2022,Switzerland,Western Europe,4,"7,512",2.026,1.226,0.822,0.677,0.461,0.147,2.153,46.818188,8.227512,17,Europe
2022,Netherlands,Western Europe,5,"7,415",1.945,1.206,0.787,0.651,0.419,0.271,2.137,52.132633,5.291266,17,Europe
2022,Luxembourg,Western Europe,6,"7,404",2.209,1.155,0.790,0.700,0.388,0.120,2.042,49.815273,6.129583,17,Europe
2022,Sweden,Western Europe,7,"7,384",1.920,1.204,0.803,0.724,0.512,0.218,2.003,60.128161,18.643501,17,Europe
2022,Norway,Western Europe,8,"7,365",1.997,1.239,0.786,0.728,0.474,0.217,1.925,60.472024,8.468946,17,Europe
2022,Israel,Middle East and Northern Africa,9,"7,364",1.826,1.221,0.818,0.568,0.143,0.155,2.634,31.046051,34.851612,17,Africa
2022,New Zealand,Australia and New Zealand,10,"7,200",1.852,1.235,0.752,0.680,0.483,0.245,1.954,-40.900557,174.885971,17,Oceania
2022,Austria,Western Europe,11,"7,163",1.931,1.165,0.774,0.623,0.329,0.193,2.148,47.516231,14.550072,17,Europe
2022,Australia,Australia and New Zealand,12,"7,162",1.900,1.203,0.772,0.676,0.341,0.258,2.011,-25.274398,133.775136,17,Oceania
2022,Ireland,Western Europe,13,"7,041",2.129,1.166,0.779,0.627,0.408,0.190,1.743,53.41291,-8.24389,17,Europe
2022,Germany,Western Europe,14,"7,034",1.924,1.088,0.776,0.585,0.358,0.163,2.142,51.165691,10.451526,17,Europe
2022,Canada,North America,15,"7,025",1.886,1.188,0.783,0.659,0.368,0.217,1.924,56.130366,-106.346771,17,North America
2022,United States,North America,16,"6,977",1.982,1.182,0.628,0.574,0.177,0.220,2.214,37.09024,-95.712891,17,North America
2022,United Kingdom,Western Europe,17,"6,943",1.867,1.143,0.750,0.597,0.329,0.289,1.967,55.378051,-3.435973,17,Europe
2022,Czech Republic,Central and Eastern Europe,18,"6,920",1.815,1.260,0.715,0.660,0.048,0.158,2.263,49.817492,15.472962,17,Europe
2022,Belgium,Western Europe,19,"6,805",1.907,1.106,0.764,0.492,0.204,0.049,2.283,50.503887,4.469936,17,Europe
2022,France,Western Europe,20,"6,687",1.863,1.219,0.808,0.567,0.266,0.070,1.895,46.227638,2.213749,17,Europe
2022,Bahrain,Middle East and Northern Africa,21,"6,647",1.854,1.029,0.625,0.693,0.155,0.199,2.092,25.930414,50.637772,14,Africa
2022,Slovenia,Central and Eastern Europe,22,"6,630",1.810,1.249,0.769,0.685,0.115,0.118,1.885,46.151241,14.995463,14,Europe
2022,Costa Rica,Latin America and Caribbean,23,"6,582",1.584,1.054,0.744,0.661,0.102,0.089,2.346,9.748917,-83.753428,14,South America
